#data taken from https://github.com/defeo/Fast-Algorithms-for-computing-isogenies/blob/master/C2.dat
# gf2x, @rhea (4/10/2010)
# p=2, d=101
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
3	0.01699	0.01299	0.01099	0.02499	0.001	0	5	0	0
5	0.04299	0.04099	0.02899	0.06299	0.003	0.001	5	0.0002	0
7	0.04199	0.04099	0.02099	0.06199	0.004	0.001	11	0.00018	0
11	0.12598	0.12198	0.07798	0.15097	0.01299	0.00599	12	0.00025	0.00009
13	0.12298	0.12298	0.04899	0.15097	0.01399	0.00499	14	0.00035	0.00015
17	0.35994	0.35394	0.19697	0.35694	0.05199	0.04199	27	0.00077	0.00023
19	0.35294	0.35294	0.11498	0.35694	0.05099	0.04299	56	0.00057	0.00054
23	0.35394	0.35394	0.11398	0.35694	0.05199	0.04199	25	0.00071	0.00062
29	0.35394	0.35294	0.11498	0.35794	0.05099	0.04299	51	0.00101	0.00063
31	0.35294	0.35294	0.11498	0.35694	0.05099	0.04299	59	0.00125	0.00055
37	0.99884	0.98485	0.49192	0.82787	0.07098	0.15597	128	0.00167	0.00221 # Isogeny not found
41	0.98485	0.98485	0.26496	0.82687	0.06998	0.15697	31	0.00206	0.00219
43	0.98485	0.98585	0.26396	0.82787	0.07098	0.15597	96	0.00218	0.00217
47	0.98485	0.98685	0.26496	0.82787	0.07098	0.15697	85	0.00248	0.00216
53	0.98585	0.98585	0.26396	0.82787	0.07098	0.15697	1	0.004	0.00217
59	0.98485	0.98485	0.26396	0.82687	0.07098	0.15697	115	0.00339	0.00217
61	0.98485	0.98485	0.26495	0.82687	0.07098	0.15597	128	0.00343	0.00228 # Isogeny not found
67	2.69959	2.6616	1.20582	1.89471	0.20396	0.92885	190	0.00439	0.00873
71	2.6626	2.66259	0.60090	1.89471	0.20496	0.92785	106	0.00492	0.00874
73	2.6626	2.66459	0.60190	1.89571	0.20396	0.92885	246	0.00516	0.00874
79	2.6616	2.6666	0.59990	1.89471	0.20496	0.92885	256	0.00584	0.00872 # Isogeny not found
89	2.6636	2.6626	0.60090	1.89371	0.20496	0.92885	120	0.00700	0.00871
101	2.6636	2.66459	0.60190	1.89471	0.20596	0.92685	256	0.00834	0.00872 # Isogeny not found
103	2.6646	2.66659	0.60190	1.89571	0.20396	0.92885	56	0.00853	0.00874
107	2.66459	2.6646	0.60190	1.89371	0.20496	0.92785	83	0.00893	0.00873
113	2.66459	2.6646	0.59990	1.89571	0.20396	0.92885	90	0.00952	0.00871
127	2.6636	2.6626	0.60190	1.89271	0.20396	0.92885	149	0.01090	0.00872
131	7.08192	7.00594	2.92056	4.29835	0.59690	5.52016	413	0.01247	0.03520
137	7.95279	7.94179	1.52977	4.87926	0.67789	6.26205	182	0.01592	0.03980
139	7.94779	7.94579	1.53177	4.87726	0.67689	6.26205	6	0.01716	0.03959
149	7.94579	7.94279	1.53077	4.87526	0.67789	6.25905	512	0.01695	0.03636 # Isogeny not found
151	6.97294	6.97394	1.34479	4.28235	0.59490	5.49916	495	0.01663	0.03503
157	6.98294	6.98594	1.34379	4.28535	0.59491	5.50116	379	0.01757	0.03503
